scenario,mode,AUC_Targeted,AUC_Random
Center->Outer,all,0.6909207450319371,0.8034856118796989
Center->Outer,bus,0.030855634941713818,0.027937514298712218
Center->Outer,metro,0.025653679418415287,0.027866090130900942
Center->Outer,rail,0.4057610333465692,0.5146066440692229
Center->Outer,tram,0.02542054649349553,0.02026200500159089
Outer->Center,all,0.898084007903627,0.8951830900631016
Outer->Center,bus,0.02292689145261006,0.02247075976799027
Outer->Center,metro,0.11671872012237872,0.10490024858180888
Outer->Center,rail,0.7197178490237321,0.6227969915227229
Outer->Center,tram,0.03521065714832043,0.034706036076231704
Center->Outer (Ext.),all,0.81930130077923,0.8980405217260629
Center->Outer (Ext.),bus,0.02631171850483312,0.024218670579759426
Center->Outer (Ext.),metro,0.024254250847517526,0.02134042581403672
Center->Outer (Ext.),rail,0.5196822969383289,0.6879701567741735
Center->Outer (Ext.),tram,0.021363409341035713,0.017208274953701412
Outer->Center (Ext.),all,0.888741723093038,0.895288901462721
Outer->Center (Ext.),bus,0.02054636938386135,0.02054636938386135
Outer->Center (Ext.),metro,0.10275709849986905,0.09505330889229732
Outer->Center (Ext.),rail,0.741778459466537,0.719691706258651
Outer->Center (Ext.),tram,0.030998840297781598,0.02980797575848266
Asker->Lillestrøm,all,0.24815807942984577,0.36746222105138265
Asker->Lillestrøm,bus,0.23590528265385532,0.3769393941709618
Asker->Lillestrøm,metro,0.23572413321562374,0.38262900442215375
Asker->Lillestrøm,rail,0.24795480916767382,0.3792914193323935
Asker->Lillestrøm,tram,0.23572413321562374,0.36795840963341775
Lillestrøm->Asker,all,0.2502968172999701,0.8999619609901155
Lillestrøm->Asker,bus,0.23508032759960015,0.3626818616165589
Lillestrøm->Asker,metro,0.23489981163656232,0.35482756356915324
Lillestrøm->Asker,rail,0.24992983363754653,0.8729753960429649
Lillestrøm->Asker,tram,0.23489981163656232,0.36419382188124405
